ShopName,Date,Prefecture,longitude,latitude,Open,genres
名代 宇奈とと 四条河原町店,2021-11-04,京都府,135.76802728152623,35.00137705544553,1, #うなぎ
うな泰 錦店,2021-11-04,愛知県,136.90145854578213,35.1692864476607,1, #うなぎ
オオギヤと宇奈とと 姫路大津店,2021-11-04,兵庫県,134.60939921568453,34.80742598500159,1, #うなぎ #焼鳥
オオギヤと宇奈とと 四日市日永店,2021-11-04,三重県,136.60318008459157,34.944877997064616,1, #焼鳥 #うなぎ
オオギヤと宇奈とと 中川八熊通り店,2021-11-04,愛知県,136.86200621569012,35.14039036704911,1, #焼鳥 #うなぎ
オオギヤと宇奈とと 新杉田駅前店,2021-11-04,神奈川県,139.6179733156943,35.385464953742364,1, #焼鳥 #うなぎ
オオギヤと宇奈とと 東村山店,2021-11-04,東京都,139.46622736342437,35.757862921140884,1, #うなぎ #焼鳥
オオギヤと宇奈とと 西葛西駅前店,2021-11-04,東京都,139.86052612582162,35.66440528759808,1, #うなぎ #焼鳥
オオギヤと宇奈とと 南越谷駅前店,2021-11-04,埼玉県,139.7912513292361,35.876010785439234,1, #うなぎ #焼鳥
オオギヤと宇奈とと 仙台国分町店,2021-11-04,宮城県,140.86974744279965,38.26727470221884,1, #焼鳥 #うなぎ
つきじ宮川本廛 京王クラウン街笹塚店,2021-10-26,東京都,139.66672304532216,35.67388446048952,1, #うなぎ
中庄 本店,2021-10-26,愛知県,136.84283201569195,35.24511456137251,1, #うなぎ
うなぎの中庄 マルイファミリー溝口店,2021-10-23,神奈川県,139.61062861569812,35.59904224208164,1, #うなぎ
鰻はる,2021-10-19,愛知県,137.16326187933964,35.10221488799194,1, #うなぎ
うなぎの中庄 マルイ溝口店,2021-10-15,神奈川県,139.61062861569812,35.59904224208164,1, #うなぎ
うなぎ処 うな富 池田川西店,2021-10-14,大阪府,135.42316361568496,34.84038868323076,1, #うなぎ
うなぎが安くて旨いだけ 鰻やす 静岡駅前,2021-10-14,静岡県,138.3833881156872,34.97298137609346,1, #うなぎ
うな天,2021-10-07,東京都,139.57993791569987,35.70402133632832,1, #うなぎ
うなぎ旬彩 かとう,2021-10-03,三重県,136.56232601568888,35.06082537135219,1, #うなぎ
名代 宇奈とと 岩国店,2021-09-15,山口県,132.22199281567367,34.17096501891068,1, #うなぎ
鰻やす 岐阜駅前,2021-09-15,岐阜県,136.75561231569483,35.41224625228339,1, #うなぎ #炭火焼き
鰻やす 栄3丁目,2021-09-15,愛知県,136.90178541569048,35.16645986563719,1, #うなぎ
名代 宇奈とと 東生駒店,2021-09-14,奈良県,135.70375121568284,34.70860369030164,1, #うなぎ #焼鳥
名代 宇奈とと 静岡千代田店,2021-09-14,静岡県,138.39680541568725,34.99143867509809,1, #うなぎ #焼鳥
名代 宇奈とと 郡山横塚店,2021-09-14,福島県,140.39454001573037,37.400142641396734,1, #うなぎ #焼鳥
うなぎが安くて旨いだけ 鰻やす 名駅4丁目,2021-09-13,愛知県,136.88602951569058,35.17166306535539,1, #うなぎ
名代 宇奈とと 姫路店,2021-09-12,兵庫県,134.6913192424467,34.82851763327677,1, #うなぎ
赤坂邸,2021-08-25,東京都,139.7350677429856,35.67498914539122,1, #うなぎ #豚丼 #丼もの（その他）
ハレ時々うなぎ,2021-08-18,東京都,139.74406421569975,35.70134483647524,1, #うなぎ
うなたん郡山店,2021-08-16,福島県,140.38106552761633,37.39919084145105,1, #うなぎ
名代 宇奈とと 駒込店,2021-08-03,東京都,139.75014431864136,35.73616039155595,1, #うなぎ #焼鳥
